Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G56045	542.0449865487249	1.6415342797433132	0.28037311073341864	344.0153413606756	3.957636477476882e-62	6.280769089755811e-58
AT2G25210	356.1085850285268	1.5730867241966109	0.2720927615582799	306.51456585679966	2.1987561889564947e-54	3.489426071873957e-50
AT5G02960	448.4127496307067	1.6407731272939354	0.23383021762389128	290.9308788664007	3.5164597466568984e-51	5.580621617944498e-47
AT1G07770	387.0774066571643	1.5112276513015672	0.2307487384386385	268.8917204935335	1.1486636078029053e-46	1.822929145583211e-42
AT1G26630	738.0817226701677	1.0761758298461293	0.1685566953395152	268.83546660251955	1.1794701673889972e-46	1.8718191556463387e-42
AT1G04410	596.7007137015873	1.6882187074614372	0.18485422468803916	261.057426303958	4.565294723849981e-45	7.24512272674992e-41
AT2G27710	857.4573736125178	0.8640349859125475	0.17643144694979424	259.8464437521311	8.061318234456352e-45	1.279331203808223e-40
AT4G13940	745.6134075479631	1.3541855115648382	0.21010709712693368	253.4118041650231	1.6491588486323284e-43	2.617215092779505e-39
AT3G56020	990.9781874946315	0.8466283471928038	0.2943995323691209	251.32255419325588	4.389483781027307e-43	6.966110760490337e-39
AT1G30360	170.29131865207202	1.63214047617368	0.26264825291229427	249.7733980042782	9.067887337682067e-43	1.439073720490144e-38
AT2G17360	179.9647623439659	1.6477130365237131	0.27885427522833545	244.64141212838683	1.0008887263283891e-41	1.5884104086831535e-37
AT4G31985	850.6152110743562	0.9725716113657797	0.2664232753734805	242.3482561159633	2.9234797884056393e-41	4.63956242419975e-37
AT1G14320	611.2147172299905	1.4980425698721658	0.1909287460356442	241.76581659461385	3.8378483262179713e-41	6.09066529370792e-37
AT1G52300	502.71341789586234	1.5129602440359973	0.19270952284267348	239.67021132039167	1.0213162223183252e-40	1.620828844819182e-36
AT2G45590	99.7103871701757	-2.5381927522857755	0.38681552918345563	238.44440327629195	1.8100160173666467e-40	2.8724954195608683e-36
AT2G32060	223.00018963268664	1.9157659511855099	0.3189851331805136	230.93859133360525	5.989918345540378e-39	9.50600041437258e-35
AT1G04270	301.13030982337676	1.2960802067682813	0.22850005751535438	227.7493074209492	2.642978464172718e-38	4.194406822642103e-34
AT3G59540	433.70825209760505	1.4352068493805008	0.2201848585181234	226.88127130052976	3.957683136505901e-38	6.280843137634865e-34
AT5G41520	289.6920691841853	1.379456674687137	0.26509294062244293	226.41379906277393	4.91871859865841e-38	7.806006416070896e-34
AT3G08520	178.8950464485594	1.217332960330057	0.36496879673512633	222.35120462260852	3.248759926759549e-37	5.1557820037674044e-33
AT3G53890	263.71575382093243	0.8193127450124787	0.2669437912626995	221.70266834147742	4.390292666160977e-37	6.967394461197471e-33
AT3G48930	462.10345308481965	1.5493709603685162	0.2256812985167033	221.38944390757024	5.077431023140611e-37	8.05788303372415e-33
AT2G47610	282.2461302689056	1.4389072346581668	0.22889660278821125	220.53888968958722	7.535178931882167e-37	1.1958328964897e-32
AT5G64840	255.90246841425056	-3.503496836683491	0.43364716529146563	220.28223900155604	8.488241350677016e-37	1.3470839023524425e-32
AT1G20670	93.09877236075792	-1.648751288077241	0.4739604116033181	217.51406307238256	3.064831104306832e-36	4.8638869625349424e-32
AT3G11120	447.7335725966115	0.7782159800684917	0.27418062940882865	217.39896670058988	3.232796452546207e-36	5.130447970190831e-32
AT1G73870	93.24068390741759	-6.26464304251943	0.7252090572556277	216.43074480478901	5.0637011544890145e-36	8.036093732174066e-32
AT4G27090	794.2663256189325	0.977014125126321	0.17899025085275608	216.09454213175763	5.917320854808831e-36	9.390788196581615e-32
AT2G15020	138.7694148901553	-7.628158652585499	0.916806977462092	214.42359819060744	1.2831022334076123e-35	2.0362832444178806e-31
AT1G15340	317.4676438381168	-1.1904579412698266	0.2582557910793883	213.4087132332454	2.0526756116946215e-35	3.2575961957593642e-31
AT5G28060	295.6374010956426	1.2497947489098613	0.2519938730564083	213.23116695023737	2.2284915335354796e-35	3.536616063720806e-31
